Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver,LapNumber,Team,Race,Session
2025-11-08 18:07:19.460,0 days 00:21:28.024000,,334.2366666666667,0 days 00:00:00,5133.95,46.85,1,0.0,False,8,interpolation,-0.05346318978556441,-1.3692841455641375e-05,OnTrack,-2604.53165880192,-8216.641430011126,-3.406672768188221e-65,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:19.528,0 days 00:21:28.092000,,334.2366666666667,0 days 00:00:00.068000,5043.0,46.0,1,0.0,False,8,car,0.8177777777777782,0.00020944693913645536,OnTrack,-2601.368447666934,-8219.838522200296,-8.026757895756476e-65,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:19.808,0 days 00:21:28.372000,30,334.2366666666667,0 days 00:00:00.348000,4224.0,46.0,1,0.0,False,8,car,4.395555555555555,0.0011257772978584468,OnTrack,-2582.0028999865262,-8235.464978879114,-4.832035226590351e-65,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:19.863,0 days 00:21:28.427000,30,335.32139015111113,0 days 00:00:00.403000,4349.8126464,45.3124992,1,0.0,False,8,pos,5.070814569598699,0.0012987227329862641,OnTrack,-2577.0,-8239.0,0.0,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:19.983,0 days 00:21:28.547000,30,337.6880568177778,0 days 00:00:00.523000,4624.3126464,43.8124992,1,0.0,False,8,pos,6.504118195796113,0.0016658164172582849,OnTrack,-2565.0,-8247.0,0.0,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:20.048,0 days 00:21:28.612000,30,338.97,0 days 00:00:00.588000,4773.0,43.0,1,0.0,False,8,car,7.262222222222222,0.0018599798834183037,OnTrack,-2558.5064827548676,-8250.956088569834,-4.017178245942524e-64,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:20.203,0 days 00:21:28.767000,30,342.07000128000004,0 days 00:00:00.743000,4237.47477888,41.44999936,1,0.0,False,8,pos,9.027959500780007,0.0023122155376054726,OnTrack,-2543.0,-8259.0,0.0,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:20.248,0 days 00:21:28.812000,30,342.97,0 days 00:00:00.788000,4082.0,41.0,1,0.0,False,8,car,9.540000000000001,0.0024433579068282676,OnTrack,-2538.288207311011,-8260.991672775244,1.6547831929390694e-63,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:20.383,0 days 00:21:28.947000,30,345.44500117333337,0 days 00:00:00.923000,4186.6250496,41.0,1,0.0,False,8,pos,11.081943970344321,0.0028382762497870693,OnTrack,-2524.0,-8266.0,0.0,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:20.408,0 days 00:21:28.972000,30,345.90333333333336,0 days 00:00:00.948000,4206.0,41.0,1,0.0,False,8,car,11.362222222222222,0.002910060325556238,OnTrack,-2521.463582376806,-8266.755354999877,-4.545180682815245e-63,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:20.543,0 days 00:21:29.107000,30,348.3783345066667,0 days 00:00:01.083000,4210.6406272,40.1562496,1,0.0,False,8,pos,12.830099647230934,0.00328600895371659,OnTrack,-2508.0,-8270.0,0.0,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:20.728,0 days 00:21:29.292000,30,351.77000000000004,0 days 00:00:01.268000,4217.0,39.0,1,0.0,False,8,car,14.82888888888889,0.003797933219721647,OnTrack,-2487.7761788186244,-8272.736119907888,1.5559991176402002e-61,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:20.763,0 days 00:21:29.327000,30,352.37277888000006,0 days 00:00:01.303000,4289.734508,39.4375008,1,0.7656263999999999,False,8,pos,15.224036188411857,0.003899137232158888,OnTrack,-2484.0,-8273.0,0.0,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:20.943,0 days 00:21:29.507000,30,355.47277888,0 days 00:00:01.483000,4663.797008,41.6875008,1,4.7031263999999995,False,8,pos,17.344488490118454,0.004442221498136563,OnTrack,-2465.0,-8273.0,0.0,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:21.048,0 days 00:21:29.612000,30,357.2811111111111,0 days 00:00:01.588000,4882.0,43.0,1,7.0,False,8,car,18.651111111111113,0.004776870000468123,OnTrack,-2452.7927130245366,-8271.991312973867,5.865679349751705e-60,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:21.163,0 days 00:21:29.727000,30,359.2616677688889,0 days 00:00:01.703000,5070.5179620571425,45.053572571428575,1,7.410714514285714,False,8,pos,20.141697145933634,0.005158634693758627,OnTrack,-2439.0,-8270.0,0.0,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:21.323,0 days 00:21:29.887000,30,362.01722332444444,0 days 00:00:01.863000,5332.803676342857,47.91071542857143,1,7.982143085714286,False,8,pos,22.314784834644904,0.005715199786677268,OnTrack,-2419.0,-8265.0,0.0,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:21.328,0 days 00:21:29.892000,30,362.10333333333335,0 days 00:00:01.868000,5341.0,48.0,1,8.0,False,8,car,22.384444444444448,0.005733040809569332,OnTrack,-2418.2294301061193,-8264.754019823135,5.226249480046962e-60,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:21.568,0 days 00:21:30.132000,30,366.36999999999995,0 days 00:00:02.108000,5840.0,52.0,1,6.0,False,8,car,25.851111111111116,0.00662091370373474,OnTrack,-2370.550486089546,-8246.570674064566,3.3468446120887255e-58,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:21.623,0 days 00:21:30.187000,30,367.5158346666666,0 days 00:00:02.163000,5909.7813312,52.6875008,1,6.0,False,8,pos,26.67852580209375,0.006832828821914852,OnTrack,-2360.0,-8242.0,0.0,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:21.888,0 days 00:21:30.452000,30,373.03666666666663,0 days 00:00:02.428000,6246.0,56.0,1,6.0,False,8,car,30.82888888888889,0.007895808115869684,OnTrack,-2320.2447574442917,-8221.755230827574,-3.956523806708648e-57,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:22.023,0 days 00:21:30.587000,30,376.07416810666666,0 days 00:00:02.563000,6422.464369371429,57.928572342857144,1,7.446429257142857,False,8,pos,33.039058293525,0.008461870473337985,OnTrack,-2305.0,-8213.0,0.0,VER,1.0,Red Bull Racing,São Paulo,Q
2025-11-08 18:07:22.168,0 days 00:21:30.732000,30,379.33666666666664,0 days 00:00:02.708000,6612.0,60.0,1,9.0,False,8,car,35.49555555555556,0.009091021627246197,OnTrack,-2291.3773500945154,-8204.978848630031,1.2437022102814233e-56,VER,1.0,Red Bull Racing,São Paulo,Q
